phone_id,person_id,number
PH0999,P0862,9800100999
PH1000,P0862,9800101000
PH1001,P0863,9800101001
PH1002,P0863,9800101002
PH1003,P0864,9800101003
PH1004,P0864,9800101004
PH1005,P0865,9800101005
PH1006,P0866,9800101006
PH1007,P0867,9800101007
PH1008,P0868,9800101008
PH1009,P0869,9800101009
PH1010,P0870,9800101010
PH1011,P0871,9800101011
PH1012,P0872,9800101012
PH1013,P0873,9800101013
PH1014,P0874,9800101014
PH1015,P0875,9800101015
PH1016,P0876,9800101016
PH1017,P0876,9800101017
PH1018,P0877,9800101018
PH1019,P0878,9800101019
PH1020,P0879,9800101020
PH1021,P0880,9800101021
PH1022,P0881,9800101022
PH1023,P0882,9800101023
PH1024,P0883,9800101024
PH1025,P0884,9800101025
PH1026,P0885,9800101026
PH1027,P0886,9800101027
PH1028,P0887,9800101028
PH1029,P0887,9800101029
PH1030,P0888,9800101030
PH1031,P0889,9800101031
PH1032,P0890,9800101032
PH1033,P0891,9800101033
PH1034,P0891,9800101034
PH1035,P0892,9800101035
PH1036,P0893,9800101036
PH1037,P0894,9800101037
PH1038,P0895,9800101038
PH1039,P0896,9800101039
PH1040,P0897,9800101040
PH1041,P0898,9800101041
PH1042,P0899,9800101042
PH1043,P0899,9800101043
PH1044,P0900,9800101044
PH1045,P0901,9800101045
PH1046,P0902,9800101046
PH1047,P0903,9800101047
PH1048,P0904,9800101048
PH1049,P0905,9800101049
PH1050,P0906,9800101050
PH1051,P0907,9800101051
PH1052,P0908,9800101052
PH1053,P0909,9800101053
PH1054,P0910,9800101054
PH1055,P0910,9800101055
PH1056,P0911,9800101056
PH1057,P0912,9800101057
PH1058,P0913,9800101058
PH1059,P0914,9800101059
PH1060,P0915,9800101060
PH1061,P0915,9800101061
PH1062,P0916,9800101062
PH1063,P0917,9800101063
PH1064,P0918,9800101064
PH1065,P0918,9800101065
PH1066,P0919,9800101066
PH1067,P0919,9800101067
PH1068,P0920,9800101068
PH1069,P0921,9800101069
PH1070,P0921,9800101070
PH1071,P0922,9800101071
PH1072,P0923,9800101072
PH1073,P0923,9800101073
PH1074,P0924,9800101074
PH1075,P0925,9800101075
PH1076,P0926,9800101076
PH1077,P0927,9800101077
PH1078,P0928,9800101078
PH1079,P0929,9800101079
PH1080,P0930,9800101080
PH1081,P0931,9800101081
PH1082,P0932,9800101082
PH1083,P0932,9800101083
PH1084,P0933,9800101084
PH1085,P0934,9800101085
PH1086,P0935,9800101086
PH1087,P0936,9800101087
PH1088,P0936,9800101088
PH1089,P0937,9800101089
PH1090,P0938,9800101090
PH1091,P0939,9800101091
PH1092,P0940,9800101092
PH1093,P0941,9800101093
PH1094,P0942,9800101094
PH1095,P0943,9800101095
PH1096,P0944,9800101096
PH1097,P0945,9800101097
PH1098,P0946,9800101098
PH1099,P0946,9800101099
PH1100,P0947,9800101100
PH1101,P0948,9800101101
PH1102,P0949,9800101102
PH1103,P0950,9800101103
PH1104,P0951,9800101104
PH1105,P0952,9800101105
PH1106,P0953,9800101106
PH1107,P0954,9800101107
PH1108,P0954,9800101108
PH1109,P0955,9800101109
PH1110,P0956,9800101110
PH1111,P0957,9800101111
PH1112,P0957,9800101112
PH1113,P0958,9800101113
PH1114,P0959,9800101114
PH1115,P0959,9800101115
PH1116,P0960,9800101116
PH1117,P0961,9800101117
PH1118,P0962,9800101118
PH1119,P0963,9800101119
PH1120,P0964,9800101120
PH1121,P0965,9800101121
PH1122,P0966,9800101122
PH1123,P0967,9800101123
PH1124,P0968,9800101124
PH1125,P0969,9800101125
PH1126,P0970,9800101126
PH1127,P0971,9800101127
PH1128,P0972,9800101128
PH1129,P0972,9800101129
PH1130,P0973,9800101130
PH1131,P0974,9800101131
PH1132,P0975,9800101132
PH1133,P0976,9800101133
PH1134,P0976,9800101134
PH1135,P0977,9800101135
PH1136,P0977,9800101136
PH1137,P0978,9800101137
PH1138,P0979,9800101138
PH1139,P0980,9800101139
PH1140,P0981,9800101140
PH1141,P0982,9800101141
PH1142,P0983,9800101142
PH1143,P0984,9800101143
PH1144,P0985,9800101144
PH1145,P0985,9800101145
PH1146,P0986,9800101146
PH1147,P0987,9800101147
PH1148,P0988,9800101148
PH1149,P0989,9800101149
PH1150,P0990,9800101150
PH1151,P0990,9800101151
PH1152,P0991,9800101152
PH1153,P0992,9800101153
PH1154,P0993,9800101154
PH1155,P0994,9800101155
PH1156,P0995,9800101156
PH1157,P0996,9800101157
PH1158,P0997,9800101158
PH1159,P0998,9800101159
PH1160,P0999,9800101160
PH1161,P1000,9800101161
