fir_id,case_id,fir_number,police_station_id,registration_date,incident_date,crime_type,incident_city,incident_area,complainant_id,victim_id,officer_id,summary,status
FIR0075,CASE074,FIR/2025/074/076,PS-DE-001,2025-10-19,2025-10-18,Procurement Fraud,Chennai,Housing Board Colony,P0734,P0734,OFF0021,Preliminary inquiry into the matter revealed that Swati Khanna was in contact with the complainant. A vehicle matching the description of KO-18-AJ-0015 was observed near Commercial Block B Public Ground. Witnesses gave differing accounts of the timeline.,Closed
FIR0076,CASE075,FIR/2026/075/077,PS-CH-023,2026-02-23,2026-02-22,Identity Fraud,Kolkata,Model Town Block C,P0505,P0505,OFF0015,"On 2026-02-22, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Manish Bhatia and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0077,CASE076,FIR/2026/076/078,PS-KA-009,2026-05-01,2026-04-30,Illegal Goods Distribution,Ghaziabad,Housing Board Colony,P0559,P0559,OFF0016,"The complainant, associated with Bansal & Sons Logistics Pvt Ltd, stated that between 2026-04-27 and 2026-04-30 several communications were received. A person locally referred to as Rohit Kapoor was reportedly seen near Commercial Block B Apartments shortly before the incident. the sequence of events remains under verification",Closed
FIR0078,CASE077,FIR/2025/077/079,PS-CH-007,2025-07-23,2025-07-22,Corporate Fraud,Ranchi,Old City Market,P0876,,OFF0014,"On 2025-07-22, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Rohan Sharma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0079,CASE078,FIR/2026/078/080,PS-BH-020,2026-07-12,2026-07-11,Missing-person Investigation,Ghaziabad,Transport Nagar,P0445,P0445,OFF0003,"The complainant, associated with Sethi Finance Services, stated that between 2026-07-08 and 2026-07-11 several communications were received. A person locally referred to as Yash Grover was reportedly seen near Phase 27 Industrial Estate Multi-level Parking shortly before the incident. the sequence of events remains under verification",Closed
FIR0080,CASE079,FIR/2025/079/081,PS-AH-017,2025-12-04,2025-12-03,Robbery Network,Haridwar,Sector 57,P0267,P0267,OFF0005,"On 2025-12-03, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Kirti Bhalla and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0081,CASE080,FIR/2025/080/082,PS-AH-017,2025-10-21,2025-10-20,Cyber-enabled Fraud,Hyderabad,Commercial Block B,P0643,P0643,OFF0021,"The complainant, associated with Arora Group Finance Services, stated that between 2025-10-17 and 2025-10-20 several communications were received. A person locally referred to as Ashok Kapoor was reportedly seen near Civil Lines Railway Station shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0082,CASE081,FIR/2025/081/083,PS-CH-007,2025-11-03,2025-11-02,Missing-person Investigation,Ghaziabad,Sector 43,P0562,P0562,OFF0019,Preliminary inquiry into the matter revealed that Divya Arora was in contact with the complainant. A vehicle matching the description of HA-92-PB-0027 was observed near Transport Nagar Inn. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0083,CASE082,FIR/2025/082/084,PS-FA-003,2025-09-23,2025-09-22,Money-laundering-style Financial Network,Lucknow,New Township Sector 8,P0433,P0433,OFF0013,"On 2025-09-22, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Anjali Mishra and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0084,CASE082,FIR/2025/082/084,PS-FA-003,2025-09-23,2025-09-22,Money-laundering-style Financial Network,Lucknow,New Township Sector 8,P0433,P0433,OFF0013,"On 2025-09-22, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Anjali Mishra and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0085,CASE083,FIR/2026/083/086,PS-LU-008,2026-07-05,2026-07-04,Cyber-enabled Fraud,Agra,Model Town Block A,P0278,,OFF0012,"The complainant, associated with Reddy Group Constructions Pvt Ltd, stated that between 2026-07-01 and 2026-07-04 several communications were received. A person locally referred to as R. Sethi was reportedly seen near Phase 19 Industrial Estate Residency shortly before the incident. the sequence of events remains under verification",Registered
FIR0086,CASE084,FIR/2026/084/087,PS-FA-003,2026-06-03,2026-06-02,Extortion,Chandigarh,Commercial Block D,P0575,P0575,OFF0013,"On 2026-06-02, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Radha Sharma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0087,CASE085,FIR/2026/085/088,PS-GH-005,2026-05-30,2026-05-29,Robbery Network,Bhubaneswar,Old City Market,P0957,P0957,OFF0004,"The complainant, associated with Aggarwal Group Transport Services, stated that between 2026-05-26 and 2026-05-29 several communications were received. A person locally referred to as Rohan Rawat was reportedly seen near Old City Market Multi-level Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0088,CASE086,FIR/2026/086/089,PS-CH-023,2026-02-01,2026-01-31,Multi-city Fraud Network,Noida,Phase 52 Industrial Estate,P0513,P0513,OFF0024,"On 2026-01-31, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Meera Grover and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0089,CASE087,FIR/2025/087/090,PS-KA-009,2025-12-10,2025-12-09,Money-laundering-style Financial Network,Hyderabad,Transport Nagar,P0857,P0857,OFF0003,"On 2025-12-09, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Bhavna Nair and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0090,CASE088,FIR/2025/088/091,PS-NO-004,2025-06-28,2025-06-27,Smuggling-style Network,Ahmedabad,Civil Lines,P0759,P0759,OFF0016,"On 2025-06-27, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Aarti Reddy and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0091,CASE089,FIR/2026/089/092,PS-DE-011,2026-04-05,2026-04-04,Document Forgery,Chandigarh,Railway Colony,P0051,P0051,OFF0017,Preliminary inquiry into the matter revealed that Kirti Verma was in contact with the complainant. A vehicle matching the description of BH-20-ZL-0106 was observed near Old City Market Market. Witnesses gave differing accounts of the timeline.,Closed
FIR0092,CASE090,FIR/2026/090/093,PS-BH-020,2026-04-22,2026-04-21,Corporate Fraud,Kolkata,Old City Market,P0376,P0376,OFF0019,"On 2026-04-21, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Priya Saxena and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0093,CASE091,FIR/2026/091/094,PS-KO-024,2026-01-14,2026-01-13,Cyber-enabled Fraud,Haridwar,Civil Lines,P0738,,OFF0016,"On 2026-01-13, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Radha Chawla and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0094,CASE091,FIR/2026/091/094,PS-KO-024,2026-01-14,2026-01-13,Cyber-enabled Fraud,Haridwar,Civil Lines,P0738,,OFF0016,"On 2026-01-13, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Radha Chawla and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0095,CASE092,FIR/2025/092/096,PS-FA-003,2025-10-29,2025-10-28,Document Forgery,Indore,Commercial Block A,P0980,P0980,OFF0014,"On 2025-10-28, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Vikram Arora and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0096,CASE093,FIR/2025/093/097,PS-HA-012,2025-08-13,2025-08-12,Multi-city Fraud Network,Delhi,New Township Sector 1,P0583,,OFF0020,Preliminary inquiry into the matter revealed that Nikhil Kohli was in contact with the complainant. A vehicle matching the description of BE-77-PY-0116 was observed near Phase 37 Industrial Estate Housing Complex. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0097,CASE094,FIR/2026/094/098,PS-IN-019,2026-05-19,2026-05-18,Insurance Fraud,Lucknow,New Township Sector 31,P0186,P0186,OFF0016,Preliminary inquiry into the matter revealed that Kavya Pandey was in contact with the complainant. A vehicle matching the description of CH-24-MQ-0156 was observed near Old City Market Market. Witnesses gave differing accounts of the timeline.,Registered
FIR0098,CASE095,FIR/2026/095/099,PS-SU-018,2026-07-21,2026-07-20,Missing-person Investigation,Noida,Transport Nagar,P0125,P0125,OFF0003,"The complainant, associated with Reddy Group Trading Co, stated that between 2026-07-17 and 2026-07-20 several communications were received. A person locally referred to as Priya Pandey was reportedly seen near New Township Sector 54 Warehouse Zone shortly before the incident. the sequence of events remains under verification",Closed
FIR0099,CASE096,FIR/2026/096/100,PS-KO-024,2026-01-18,2026-01-17,Illegal Goods Distribution,Surat,New Township Sector 48,P0546,P0546,OFF0007,"On 2026-01-17, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Manju Grover and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0100,CASE097,FIR/2026/097/101,PS-KA-009,2026-01-22,2026-01-21,Corporate Fraud,Ahmedabad,New Township Sector 9,P0974,P0974,OFF0019,"Preliminary inquiry into the matter revealed that ""Raju"" was in contact with the complainant. A vehicle matching the description of KO-78-JG-0285 was observed near Model Town Block A Family Restaurant. Witnesses gave differing accounts of the timeline.",Closed
FIR0101,CASE098,FIR/2025/098/102,PS-SU-018,2025-12-15,2025-12-14,Organized Theft,Kanpur,Civil Lines,P0241,P0241,OFF0014,Preliminary inquiry into the matter revealed that Aakash Singh was in contact with the complainant. A vehicle matching the description of SU-31-ZI-0084 was observed near Civil Lines Railway Station. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0102,CASE099,FIR/2026/099/103,PS-CH-023,2026-06-19,2026-06-18,Extortion,Chennai,Civil Lines,P0457,P0457,OFF0023,"The complainant, associated with Choudhary Transport Services, stated that between 2026-06-15 and 2026-06-18 several communications were received. A person locally referred to as Nikhil Bansal was reportedly seen near Railway Colony Public Parking shortly before the incident. the sequence of events remains under verification",Closed
FIR0103,CASE100,FIR/2026/100/104,PS-SU-018,2026-05-29,2026-05-28,Missing-person Investigation,Ahmedabad,Sector 37,P0643,P0643,OFF0015,"The complainant, associated with Bhatia Group Trading Co, stated that between 2026-05-25 and 2026-05-28 several communications were received. A person locally referred to as Meera Rathore was reportedly seen near Civil Lines Corporate Plaza shortly before the incident. the sequence of events remains under verification",Under Investigation
